font_size,font_is_bold,norm_x0,norm_y0,word_count,char_count,uppercase_ratio,ends_with_punctuation,numbering_pattern,node_degree,avg_neighbor_distance,font_size_ratio,bold_vs_neighbors,space_above,indentation_vs_below,page_idx,node_idx,text_snippet,,,,,label
24,0,0.412826787,0.239419224,1,8,0.125,0,0,4,243.9380813,1.500938085,0,0,-181.7059937,1,0,Overview ,,,,,title
24,0,0.227689531,0.309146496,3,27,0.111111111,0,0,4,202.5581605,1.500938085,0,55.22399902,-68.4019928,1,1,Foundation Level Extensions ,,,,,title
12,0,0.45047386,0.482866191,2,11,0.090909091,0,0,4,169.9353989,0.631911532,0,137.5859985,-204.7460022,1,2,Version 1.0 ,,,,,body
18,0,0.168856203,0.588005027,5,51,0.098039216,0,0,4,191.7945133,1.029159519,0,83.2699585,-32.39599609,1,3,International Software Testing Qualifications Boar,,,,,body
9.960000038,0,0.115921569,0.823593679,18,110,0.027272727,1,0,4,333.6646233,0.510769233,0,186.5862122,0,1,4,Copyright Notice ,,,,,body
10.2514286,0,0.121607849,0.048770471,11,96,0.104166667,0,0,4,413.7123685,1.142857143,0,0,2.159996033,2,0,International ,,,,,body
9.960000038,0,0.806450638,0.077861352,1,5,0.2,0,0,4,475.7892837,1.101421802,0,23.03997803,-416.9637909,2,1,Board ,,,,,body
9.960000038,0,0.115921569,0.151977529,10,92,0.119565217,1,0,4,384.4422523,1.101421802,0,58.70001221,5.63999939,2,2,Copyright © International Software Testing Qualifi,,,,,body
9.960000038,0,0.125132941,0.907428472,9,38,0.078947368,0,0,4,528.3689273,1.101421802,0,598.3171463,0.002639771,2,3,Version 2014 ,,,,,body
6,0,0.125137254,0.930416685,6,53,0.094339623,0,0,4,562.2499716,0.598035026,0,18.20666504,0,2,4,© International Software Testing Qualifications Bo,,,,,body
9.960000038,0,0.703839869,0.077861352,2,20,0.1,0,0,4,354.4674337,0.862711131,0,23.03997803,-354.1660004,3,0,Qualifications Board ,,,,,body
10.30000003,0,0.121607849,0.048770471,10,81,0.111111111,0,0,5,370.4023432,0.993441358,0,0,2.159996033,3,1,International ,,,,,body
15.96000004,0,0.115921569,0.137545711,2,16,0.125,0,0,5,388.3185924,1.728020787,0,47.2700119,5.63999939,3,2,Revision History ,,,,,heading
9.960000038,0,0.121607849,0.17606847,53,298,0.117449664,0,0,5,326.9389977,0.954388656,0,30.51002502,2.159996033,3,3,Version ,,,,,body
9.960000038,0,0.125137254,0.907433789,9,38,0.078947368,0,0,5,535.8453902,0.954388656,0,579.241333,-5.63999939,3,4,Version 2014 ,,,,,body
6,0,0.125137254,0.930416685,6,53,0.094339623,0,0,4,514.9945261,0.519705499,0,18.20245361,0,3,5,© International Software Testing Qualifications Bo,,,,,body
9.960000038,0,0.248070586,0.182735096,1,138,0,1,0,7,75.43323691,0.995837414,0,83.06000519,341.7285919,4,0,..................................................,,,,,body
9.960000038,0,0.25708666,0.204704978,1,136,0,1,0,8,80.95567257,0.996355841,0,17.40014648,336.2107544,4,1,..................................................,,,,,body
9.960000038,0,0.527731802,0.226825753,1,76,0,1,0,6,92.22472618,1,0,17.51965332,170.5759277,4,2,..................................................,,,,,body
9.960000038,0,0.586385141,0.248946527,1,63,0,1,0,5,94.23505901,1,0,17.51965332,134.6800842,4,3,..................................................,,,,,body
9.960000038,0,0.315349454,0.271218194,6,677,0,1,0,7,82.34753414,1,0,17.63916016,221.0821228,4,4,..................................................,,,,,body
9.960000038,0,0.676594753,0.365825692,1,41,0,1,0,4,116.7173912,1,0,74.92913818,-267.177002,4,5,......................................... ,,,,,body
