font_size,font_is_bold,norm_x0,norm_y0,word_count,char_count,uppercase_ratio,ends_with_punctuation,numbering_pattern,node_degree,avg_neighbor_distance,font_size_ratio,bold_vs_neighbors,space_above,indentation_vs_below,page_idx,node_idx,text_snippet,,,,,label
15.96000004,0,0.155948689,0.09101517,4,36,0.111111111,0,0,4,331.4294837,0.74198046,0,0,-3.775527954,1,0,Ontario’s Libraries ,,,,,body
32.04000092,0,0.147098529,0.197621143,14,95,0.210526316,0,0,4,243.6935978,1.831903971,0,84.43193054,1.640769958,1,1,RFP: R,,,,,title
24,0,0.215360454,0.313636356,14,86,0.104651163,0,0,4,210.2259132,1.230769201,0,91.88404846,-40.13552856,1,2,To Present a Proposal for Developing ,,,,,body
20.04000092,0,0.389282027,0.432403796,3,14,0.071428571,0,0,4,224.0567712,0.9780381,0,94.06381226,-146.575531,1,3,"March 21, 2003 ",,,,,body
9.960000038,0,0.149779525,0.876596085,40,262,0.026717557,1,0,4,490.5153575,0.432855273,0,351.800293,0,1,4,The Ontario Digital Library will make Ontario a be,,,,,body
20.04000092,0,0.147125169,0.111863656,3,25,0.12,0,0,4,174.6984877,1.60191854,0,0,42.00140381,2,0,Ontario’s Digital Library ,,,,,heading
15.96000004,0,0.147125169,0.15191425,11,79,0.113924051,0,0,4,154.7421782,1.179600871,0,31.72006989,42.00140381,2,1,A Critical Component for Implementing Ontario’s Ro,,,,,heading
12,0,0.156929091,0.247121194,1,7,0.142857143,0,0,4,187.8153323,0.826446269,0,75.40390015,36.00140381,2,2,Summary ,,,,,heading
11.03999996,0,0.156929091,0.288596972,68,420,0.042857143,0,0,4,153.3339361,0.747967465,0,32.84881592,36.00140381,2,3,The purpose of this Request for Proposal (RFP) is ,,,,,body
11.03999996,0,0.215754914,0.383733306,86,550,0.021818182,0,0,7,190.6167832,0.846096085,0,75.34797668,-36.00236511,2,4,"how the ODL will be implemented, including the tim",,,,,body
11.03999996,0,0.156929041,0.559313919,19,112,0.0625,0,0,5,126.6272725,1.015132408,0,139.059845,3.81E-05,2,5,This business plan must be completed and approved ,,,,,body
11.03999996,1,0.156929103,0.60642909,1,9,0.111111111,0,0,4,208.7928156,1.018987341,0,37.31521606,-0.000968933,2,6,Timeline: ,,,,,heading
10.45714283,1,0.156929103,0.637486005,27,172,0.040697674,1,0,7,136.1169163,0.985460421,0,24.59707642,-6.000007629,2,7,Those firms/consultants intended to submit a propo,,,,,body
10.79999998,1,0.15692752,0.684653928,38,258,0.085271318,1,0,7,130.756654,1.022490147,0,37.35699463,-5.999038696,2,8,"Proposals may be e-mailed, mailed, couriered or fa",,,,,body
11.03999996,1,0.15692752,0.763742389,45,282,0.014184397,1,0,6,124.4493116,1.057181942,0,62.63806152,-5.999038696,2,9,Those proposals that are short-listed will be invi,,,,,body
11.03999996,1,0.156927545,0.842667242,23,131,0.015267176,1,0,4,95.61383678,1.088297422,0,62.50848389,0.000953674,2,10,Contracts with the firm/consultant will be signed ,,,,,body
8.279999971,1,0.147125169,0.922954367,12,70,0.157142857,0,0,4,138.6889832,0.764240506,0,63.58740234,0,2,11,RFP: To Develop the Ontario Digital Library Busine,,,,,body
11.03999996,0,0.156929091,0.091172748,25,141,0.021276596,1,0,4,178.8652608,0.985086041,0,0,-6,3,0,Please note that we reserve the right not to selec,,,,,body
10.7485714,1,0.156893013,0.138287881,76,481,0.020790021,1,0,4,139.9306977,0.952887538,1,37.31518555,-5.977920532,3,1,If you require further information or have any que,,,,,body
12,0,0.156929091,0.260303016,1,10,0.1,0,0,4,199.7499101,1.094177417,0,96.63598633,-6,3,2,Background ,,,,,heading
11.03999996,0,0.147125169,0.301930302,50,347,0.048991354,1,0,5,144.1442287,0.988033138,0,32.96881104,0,3,3,"First, some background on the ODL. For the last tw",,,,,body
11.03999996,0,0.147125169,0.380855059,82,505,0.00990099,1,0,6,170.6690044,0.990007686,0,62.50840759,0,3,4,Libraries that serve very different clientele reco,,,,,body
11.03999996,0,0.147125169,0.491896311,94,615,0.011382114,1,0,4,135.2756256,1,0,87.94467163,1.53E-05,3,5,We are moving into a period of convergence. With c,,,,,body
11.03999996,1,0.147125169,0.618689065,99,619,0.040387722,1,0,6,143.3462887,1.043478261,0,100.4198608,0,3,6,The concept of an ODL is a key element in The Road,,,,,body
11.03999996,0,0.147125194,0.746555136,33,192,0.026041667,1,0,5,103.3984251,1.052631579,0,101.269928,-1.53E-05,3,7,Libraries have long been a key delivery point for ,,,,,body
11.03999996,0,0.147125194,0.810341729,29,183,0.027322404,1,0,4,73.33782238,1.066666667,0,50.51898193,-1.53E-05,3,8,Libraries have a long tradition of using a practic,,,,,body
11.03999996,0,0.147125194,0.858376936,41,277,0.050541516,0,0,4,84.18788745,1.066666667,0,38.04388428,-1.53E-05,3,9,Jurisdiction-wide digital libraries are very pract,,,,,body
8.279999971,1,0.147125169,0.922954367,12,70,0.157142857,0,0,4,113.2325206,0.75,0,51.14532471,0,3,10,RFP: To Develop the Ontario Digital Library Busine,,,,,body
11.03999996,0,0.147112317,0.091061236,149,989,0.04752275,1,0,4,202.8239772,1,0,0,0,4,0,was incorporated in 1997 as a province-wide librar,,,,,body
11.03999996,0,0.147112317,0.298604657,79,543,0.025782689,1,0,5,129.3260099,1,0,164.3743896,0,4,1,The ODL will be a partnership-based organization p,,,,,body
11.03999996,0,0.147112317,0.409645851,10,55,0.072727273,0,0,5,118.6070027,1,0,87.94462585,0,4,2,The principles which will define and guide the ODL,,,,,body
11.03999996,1,0.147112317,0.440702804,5,35,0.057142857,0,0,5,138.0534152,1,0,24.59710693,0,4,3,Equitable access for all Ontarians: ,,,,,heading
11.03999996,0,0.17651624,0.471913116,14,103,0.019417476,0,0,6,123.7282779,1,0,24.71856689,0,4,4,"We will bring consistent, high-quality electronic ",,,,,body
11.03999996,0,0.17651624,0.518874929,17,112,0.008928571,1,0,5,93.38964439,1,0,37.1937561,-17.99520111,4,5,We will eliminate barriers to the access to inform,,,,,body
